id,churn_true,p_churn,rank,decile,gender,customer_age,income_category,card_category,months_inactive_12_mon,total_trans_ct
787482033,1,0.9997153508315785,1,10,F,43,$40K - $60K,Blue,2,59
713027058,1,0.9995788129156721,2,10,F,50,Less than $40K,Blue,3,71
718653333,1,0.999435521030138,3,10,F,53,Less than $40K,Blue,2,47
710679933,1,0.9993557535289541,4,10,F,52,Less than $40K,Blue,2,72
716387733,1,0.9993427707774952,5,10,F,44,$40K - $60K,Blue,2,84
809849358,1,0.99923272099236,6,10,F,56,Unknown,Blue,1,76
716506083,1,0.9991368024902058,7,10,M,52,$120K +,Blue,3,77
712157958,1,0.9991012260065709,8,10,M,57,$80K - $120K,Blue,2,26
713003358,1,0.9989981188962941,9,10,M,33,$60K - $80K,Blue,2,35
793608258,1,0.9989964148796239,10,10,F,38,Less than $40K,Blue,2,118
711826983,1,0.9989719134192449,11,10,F,50,Less than $40K,Blue,2,73
714294183,1,0.9988477449165641,12,10,M,46,$40K - $60K,Blue,2,60
719038008,0,0.9985230746261893,13,10,F,35,Less than $40K,Blue,3,61
809951133,1,0.998409225349492,14,10,F,47,Less than $40K,Blue,2,54
719318583,1,0.9983787227584676,15,10,F,47,Less than $40K,Blue,2,88
816013383,1,0.9983639544366792,16,10,M,43,$80K - $120K,Blue,1,54
827451333,1,0.9982687785864959,17,10,M,40,$80K - $120K,Blue,2,81
710155158,1,0.9979451288717008,18,10,F,44,Less than $40K,Blue,1,77
717448383,1,0.9976472805345913,19,10,F,62,Unknown,Blue,1,33
708266883,1,0.9976331572865003,20,10,M,31,Less than $40K,Blue,2,71
709560258,1,0.9975380135665355,21,10,F,32,Less than $40K,Blue,3,67
824140908,1,0.997533827210913,22,10,F,40,$40K - $60K,Blue,1,64
714412308,1,0.9974276004161983,23,10,F,45,$40K - $60K,Blue,1,77
714581358,1,0.9972971569818917,24,10,M,41,$40K - $60K,Silver,3,66
708655983,0,0.9972781302993925,25,10,F,49,$40K - $60K,Blue,2,65
771809733,1,0.9972392375800262,26,10,M,50,$80K - $120K,Blue,2,15
809599158,1,0.9971351204667586,27,10,M,62,$40K - $60K,Blue,3,50
790099758,0,0.9965552130130015,28,10,M,65,$40K - $60K,Blue,2,32
709711758,1,0.9965461845623033,29,10,M,59,Less than $40K,Blue,3,70
720551733,1,0.9963612073748659,30,10,M,36,$40K - $60K,Blue,2,74
712979133,1,0.9960291447545038,31,10,M,43,$60K - $80K,Blue,3,42
710570058,1,0.9958735290385272,32,10,M,50,$80K - $120K,Blue,2,53
714406158,1,0.9957334083898086,33,10,M,38,$40K - $60K,Blue,6,78
718152333,1,0.9956086869487557,34,10,M,50,$80K - $120K,Blue,2,93
711232608,1,0.9953851262591,35,10,F,48,Less than $40K,Blue,3,54
714188883,1,0.9950196343846341,36,10,F,62,$40K - $60K,Blue,1,30
779310033,1,0.9949558466986047,37,10,F,49,Less than $40K,Blue,5,78
772000533,0,0.9946799937521753,38,10,M,36,$40K - $60K,Blue,2,44
711267633,1,0.9946771841204158,39,10,M,48,$60K - $80K,Blue,3,65
718524783,1,0.9945646429956096,40,10,M,47,$40K - $60K,Blue,6,32
779681433,1,0.9944497850702766,41,10,M,56,$60K - $80K,Blue,1,81
714602658,1,0.9944105510216473,42,10,F,45,$40K - $60K,Blue,3,68
802460433,1,0.9942142089416801,43,10,F,52,Less than $40K,Silver,2,128
720190083,1,0.9941489215182582,44,10,M,54,$40K - $60K,Blue,3,26
771422883,1,0.99394555632491,45,10,F,44,$40K - $60K,Blue,2,74
709161108,1,0.9939353197493898,46,10,M,46,$40K - $60K,Blue,2,27
769396158,1,0.9937372247990075,47,10,M,48,$60K - $80K,Silver,3,51
813499458,1,0.9936854600588584,48,10,F,43,Unknown,Silver,3,76
708084558,1,0.9935045259325591,49,10,F,47,Less than $40K,Blue,2,70
712660308,1,0.9934705772768181,50,10,F,64,$40K - $60K,Blue,2,69
713131158,1,0.9930216215309405,51,10,F,61,Unknown,Blue,2,62
720827133,1,0.9928546390522025,52,10,M,44,$80K - $120K,Blue,3,84
709537683,1,0.9928098556850876,53,10,F,54,Less than $40K,Blue,3,41
716573058,1,0.9927313246947204,54,10,F,50,Less than $40K,Blue,1,76
712982808,1,0.9916086321831977,55,10,M,44,$60K - $80K,Blue,1,77
714361083,1,0.9913602731180504,56,10,F,40,Less than $40K,Blue,1,69
712578933,1,0.9908141875080568,57,10,F,50,Less than $40K,Blue,3,94
772073508,1,0.9903078496856099,58,10,F,36,Less than $40K,Blue,2,86
709170108,1,0.9901851029835786,59,10,F,26,$40K - $60K,Blue,3,85
709987683,1,0.9900541564789237,60,10,F,53,$40K - $60K,Blue,3,92
716315508,1,0.9890310217901301,61,10,F,45,Less than $40K,Blue,4,63
715511658,0,0.9881942095021464,62,10,F,39,Less than $40K,Blue,3,90
713104458,1,0.9875249836013074,63,10,M,51,$60K - $80K,Blue,2,74
716893683,1,0.9871589419183123,64,10,F,47,Unknown,Blue,3,52
713755458,1,0.9871482678886573,65,10,M,45,$60K - $80K,Blue,5,82
709206333,1,0.9870900705336477,66,10,M,36,$60K - $80K,Blue,3,71
778908783,0,0.9870715733873093,67,10,F,48,Less than $40K,Blue,3,36
710116833,1,0.9868892168384351,68,10,F,41,Less than $40K,Silver,1,105
