lift_abs,offer_cost,max_cum_profit
0.05,0.25,3755.8642553181508
0.05,0.5,3358.3289269737534
0.05,1.0,2722.2702301459
0.05,1.5,2208.351778249725
0.05,2.0,1779.8384933457517
0.1,0.25,7978.237940405244
0.1,0.5,7511.7285106363015
0.1,1.0,6716.657853947507
0.1,1.5,6038.7489096902245
0.1,2.0,5444.5404602918
0.2,0.25,16480.593874639857
0.2,0.5,15956.475880810489
0.2,1.0,15023.457021272603
0.2,1.5,14191.932426691934
0.2,2.0,13433.315707895013
0.3,0.25,25003.7247212848
0.3,0.5,24449.25319458552
0.3,1.0,23447.440436202964
0.3,1.5,22535.18553190902
0.3,2.0,21689.434641498345
0.4,0.25,33534.05179507139
0.4,0.5,32961.187749279714
0.4,1.0,31912.951761620978
0.4,1.5,30948.836106600524
0.4,2.0,30046.914042545206
