threshold,coverage,precision,recall,lift,n_target,tp,fp,fn,expected_profit
0.01,0.8791469194312796,0.18283917340521114,1.0,1.1374663072776279,2226,407,1819,0,14811.033348118654
0.02,0.7918641390205371,0.2029925187032419,1.0,1.2628428927680797,2005,407,1598,0,14953.854717266935
0.03,0.7432859399684044,0.21625929861849097,1.0,1.3453772582359191,1882,407,1475,0,15003.600132619562
0.04,0.6994470774091627,0.22924901185770752,0.9975429975429976,1.4261879558322246,1771,406,1365,1,15023.150353648958
0.05,0.6623222748815166,0.24150268336314848,0.995085995085995,1.5024196419545255,1677,405,1272,2,15016.023199490417
0.060000000000000005,0.6315165876777251,0.25203252032520324,0.9901719901719902,1.5679271289027383,1599,403,1196,4,14990.749798760498
0.06999999999999999,0.6074249605055292,0.26202860858257476,0.9901719901719902,1.6301140956537574,1538,403,1135,4,14957.68018851753
0.08,0.5821484992101106,0.2727272727272727,0.9877149877149877,1.69667187849006,1474,402,1072,5,14906.304927741114
0.09,0.5592417061611374,0.2831920903954802,0.9852579852579852,1.7617748719443633,1416,401,1015,6,14846.890281121272
0.09999999999999999,0.5418641390205371,0.2922740524781341,0.9852579852579852,1.81827494072392,1372,401,971,6,14790.509179003986
0.11,0.5272511848341233,0.299625468164794,0.9828009828009828,1.8640090550202908,1335,400,935,7,14735.020289427768
0.12,0.509478672985782,0.31007751937984496,0.9828009828009828,1.9290326267070452,1290,400,890,7,14656.272159453834
0.13,0.4901263823064771,0.31990330378726833,0.9754299754299754,1.9901601110303768,1241,397,844,10,14558.027194044447
0.14,0.4755134281200632,0.3272425249169435,0.9680589680589681,2.0358183613997562,1204,394,810,13,14475.303984262126
0.15000000000000002,0.46208530805687204,0.3367521367521368,0.9680589680589681,2.094978894978895,1170,394,776,13,14391.267044416785
0.16,0.45221169036334913,0.34323144104803494,0.9656019656019657,2.135287490746006,1145,393,752,14,14323.454710750297
0.17,0.4458925750394945,0.34720992028343667,0.9631449631449631,2.1600381281515024,1129,392,737,15,14275.82202508028
0.18000000000000002,0.4332543443917852,0.3536918869644485,0.9533169533169533,2.2003632869631042,1097,388,709,19,14173.839036660589
0.19,0.4225908372827804,0.3616822429906542,0.9508599508599509,2.2500723323153227,1070,387,683,20,14080.881919248117
0.2,0.41350710900473936,0.36771728748806115,0.9459459459459459,2.2876171300240067,1047,385,662,22,13996.111611824661
0.21000000000000002,0.4028436018957346,0.37450980392156863,0.9385749385749386,2.329874259286024,1020,382,638,25,13890.183026875837
0.22,0.3933649289099526,0.38353413654618473,0.9385749385749386,2.3860158077025546,996,382,614,25,13790.315856394154
0.23,0.38665086887835703,0.390194075587334,0.9385749385749386,2.4274481557423333,979,382,597,25,13715.662173101962
0.24000000000000002,0.3755924170616114,0.39852786540483703,0.9312039312039312,2.4792937474325485,951,379,572,28,13585.964776044759
0.25,0.3684834123222749,0.40514469453376206,0.9287469287469288,2.520457903094559,933,378,555,29,13498.407112998906
0.26,0.3613744075829384,0.4098360655737705,0.9213759213759214,2.5496435332500904,915,375,540,32,13406.10598842604
0.27,0.35308056872037913,0.41946308724832215,0.9213759213759214,2.6095344887291194,894,375,519,32,13293.66293561142
0.28,0.3459715639810427,0.4269406392694064,0.918918918918919,2.65605331358756,876,374,502,33,13193.004889894943
0.29000000000000004,0.33767772511848343,0.43625730994152045,0.9164619164619164,2.7140135350661665,855,373,482,34,13070.051616874425
0.3,0.3321484992101106,0.441141498216409,0.9115479115479116,2.7443987063487656,841,371,470,36,12985.046332960337
0.31,0.32582938388625593,0.4484848484848485,0.9090909090909091,2.790082644628099,825,370,455,37,12884.138448443493
0.32,0.3195102685624013,0.4561186650185414,0.9066339066339066,2.83757361136842,809,369,440,38,12779.226157170222
0.33,0.3135860979462875,0.4622166246851385,0.9017199017199017,2.87550981253752,794,367,427,40,12676.945322776168
0.34,0.3076619273301738,0.46983311938382544,0.8992628992628993,2.9228930178865995,779,366,413,41,12571.993329015444
0.35000000000000003,0.3029225908372828,0.4771838331160365,0.8992628992628993,2.9686227652329347,767,366,401,41,12484.7556185237
0.36000000000000004,0.29778830963665087,0.48408488063660476,0.8968058968058968,3.0115550805205973,754,365,389,42,12387.317370150635
0.37,0.2938388625592417,0.4879032258064516,0.8918918918918919,3.0353095030514385,744,363,381,44,12309.61179934123
0.38,0.28791469194312796,0.49519890260631,0.8869778869778869,3.080696858474636,729,361,368,46,12189.238492455637
0.39,0.283175355450237,0.5034867503486751,0.8869778869778869,3.1322566385327892,717,361,356,46,12090.295464543913
0.4,0.27764612954186413,0.5120910384068279,0.8845208845208845,3.1857850350026737,703,360,343,47,11971.69016166389
0.41000000000000003,0.27211690363349134,0.5195936139332366,0.8796068796068796,3.2324595343463263,689,358,331,49,11849.393546775751
0.42000000000000004,0.27014218009478674,0.5233918128654971,0.8796068796068796,3.256088624509677,684,358,326,49,11804.704855551712
0.43,0.2677725118483412,0.5250737463126843,0.8746928746928747,3.2665521515079035,678,356,322,51,11749.73961988353
0.44,0.26342812006319116,0.5292353823088456,0.8673218673218673,3.2924422309729655,667,353,314,54,11645.737392923198
0.45,0.2578988941548183,0.5405819295558959,0.8673218673218673,3.363030578957072,653,353,300,54,11510.141132663151
0.46,0.2551342812006319,0.5464396284829721,0.8673218673218673,3.399472086778588,646,353,293,54,11440.927316639933
0.47000000000000003,0.25,0.5545023696682464,0.8624078624078624,3.449631449631449,633,351,282,56,11308.97162767491
0.48000000000000004,0.24684044233807267,0.5584,0.8574938574938575,3.4738791154791153,625,349,276,58,11225.499023198721
0.49,0.24407582938388625,0.5614886731391586,0.8525798525798526,3.493094153288328,618,347,271,60,11151.323812197215
0.5,0.2381516587677725,0.5704809286898839,0.8452088452088452,3.549036146051071,603,344,259,63,10988.481998550396
0.51,0.23420221169036334,0.5767284991568297,0.8402948402948403,3.5879030954916282,593,342,251,65,10877.251854769118
0.52,0.22985781990521326,0.584192439862543,0.8353808353808354,3.634337242584665,582,340,242,67,10752.44891145045
0.53,0.22669826224328593,0.5871080139372822,0.828009828009828,3.652475408572969,574,337,237,70,10659.517618796364
0.54,0.2231437598736177,0.5893805309734513,0.8181818181818182,3.666613032984714,565,333,232,74,10553.265945041923
0.55,0.2184044233807267,0.5949367088607594,0.8083538083538083,3.701178739153422,553,329,224,78,10408.548299229064
0.56,0.2136650868878357,0.5988909426987061,0.7960687960687961,3.725778542784088,541,324,217,83,10260.897633479108
0.5700000000000001,0.21011058451816747,0.6033834586466166,0.7886977886977887,3.7537270695165432,532,321,211,86,10148.041485181042
0.5800000000000001,0.20813586097946288,0.6091081593927894,0.7886977886977887,3.789341178335486,527,321,206,86,10084.284916485027
0.59,0.20458135860979462,0.6177606177606177,0.7862407862407862,3.843169248574654,518,320,198,87,9966.976407626786
0.6,0.20221169036334913,0.619140625,0.7788697788697788,3.851754453316953,512,317,195,90,9887.625093129156
0.61,0.1994470774091627,0.6277227722772277,0.7788697788697788,3.9051451091055047,505,317,188,90,9792.995553263492
0.62,0.19391785150078988,0.6374745417515275,0.769041769041769,3.9658121368915666,491,313,178,94,9600.369494767016
0.63,0.19075829383886256,0.6459627329192547,0.7665847665847666,4.0186182794878444,483,312,171,95,9488.697913690014
0.64,0.1868088467614534,0.653276955602537,0.7592137592137592,4.064121011266888,473,309,164,98,9346.14354075473
0.65,0.18364928909952608,0.6580645161290323,0.7518427518427518,4.093905048743758,465,306,159,101,9230.420606119347
0.66,0.1773301737756714,0.6703786191536748,0.7395577395577395,4.170512687216473,449,301,148,106,8994.72984907822
0.67,0.17535545023696683,0.6779279279279279,0.7395577395577395,4.217477920180622,444,301,143,106,8920.215143635745
0.68,0.1721958925750395,0.6811926605504587,0.7297297297297297,4.237788246962558,436,297,139,110,8798.77462406705
0.6900000000000001,0.16943127962085308,0.682983682983683,0.7199017199017199,4.248930430748612,429,293,136,114,8690.725036928114
0.7000000000000001,0.1646919431279621,0.6858513189448441,0.7027027027027027,4.266770367489792,417,286,131,121,8502.938055842751
0.7100000000000001,0.160347551342812,0.6921182266009852,0.6904176904176904,4.305757616102444,406,281,125,126,8327.645220277731
0.72,0.15876777251184834,0.6990049751243781,0.6904176904176904,4.348600975466646,402,281,121,126,8263.061535024073
0.73,0.15402843601895735,0.7102564102564103,0.6805896805896806,4.418597618597619,390,277,113,130,8066.152585013171
0.74,0.14968404423380727,0.7176781002638523,0.6683046683046683,4.464768918594776,379,272,107,135,7883.390516007379
0.75,0.14652448657187994,0.7277628032345014,0.6633906633906634,4.527507169016602,371,270,101,137,7748.521314243555
0.76,0.14494470774091628,0.7275204359673024,0.6560196560196561,4.525999370686018,367,267,100,140,7680.123567127195
0.77,0.13981042654028436,0.7344632768361582,0.6388206388206388,4.5691916878357555,354,260,94,147,7454.719032173096
0.78,0.1358609794628752,0.7412790697674418,0.6265356265356266,4.6115936232215295,344,255,89,152,7278.857547210622
0.79,0.13270142180094788,0.75,0.6191646191646192,4.665847665847665,336,252,84,155,7136.243145917853
0.8,0.13151658767772512,0.7507507507507507,0.6142506142506142,4.670518184031697,333,250,83,157,7081.999608591642
0.81,0.12559241706161137,0.7672955974842768,0.5995085995085995,4.773445830049604,318,244,74,163,6807.5293195907525
0.8200000000000001,0.12243285939968404,0.7741935483870968,0.5896805896805897,4.8163588808750095,310,240,70,167,6658.924101022562
0.8300000000000001,0.11808846761453397,0.782608695652174,0.5749385749385749,4.8687106078410425,299,234,65,173,6451.917992492192
0.8400000000000001,0.11492890995260663,0.7938144329896907,0.5675675675675675,4.938422959041515,291,231,60,176,6299.67080308933
0.85,0.10860979462875198,0.8109090909090909,0.547911547911548,5.044771052043779,275,223,52,184,5991.404473779054
0.86,0.1046603475513428,0.8188679245283019,0.5331695331695332,5.0942839923972,265,217,48,190,5796.0491422950145
0.87,0.09992101105845182,0.8379446640316206,0.5208845208845209,5.212962873041924,253,212,41,195,5558.522784106329
0.88,0.09676145339652449,0.8408163265306122,0.5061425061425061,5.230827859399287,245,206,39,201,5398.351425241005
0.89,0.09399684044233807,0.8529411764705882,0.4987714987714988,5.306258129787541,238,203,35,204,5256.730196183469
0.9,0.09044233807266983,0.851528384279476,0.47911547911547914,5.297468965591236,229,195,34,212,5072.400429919454
0.91,0.08570300157977884,0.8571428571428571,0.457002457002457,5.332397332397331,217,186,31,221,4823.643543139617
0.92,0.08175355450236967,0.8743961352657005,0.44471744471744473,5.4397322223409175,207,181,26,226,4613.7468568735
0.93,0.07661927330173776,0.8865979381443299,0.4226044226044226,5.515641226981432,194,172,22,235,4338.0893380574535
0.9400000000000001,0.06990521327014218,0.8813559322033898,0.3832923832923833,5.483030025402906,177,156,21,251,3973.32487468832
0.9500000000000001,0.06240126382306477,0.879746835443038,0.3415233415233415,5.473019624918359,158,139,19,268,3561.2017507406263
0.9600000000000001,0.054502369668246446,0.8913043478260869,0.3022113022113022,5.544920414485631,138,123,15,284,3123.136107723956
0.97,0.04462875197472354,0.9026548672566371,0.25061425061425063,5.615533473940553,113,102,11,305,2568.570414969205
0.98,0.035545023696682464,0.9,0.19901719901719903,5.599017199017199,90,81,9,326,2053.260274234384
0.99,0.023696682464454975,0.9333333333333333,0.1375921375921376,5.806388206388206,60,56,4,351,1374.109707253503
